data,area
19.07.1999,18
07.10.1999,16
27.05.2000,21
30.07.2000,6
09.10.2000,2
30.05.2001,20
10.09.2001,4
08.05.2002,26
11.07.2002,26
31.10.2002,13
11.05.2003,25
30.07.2003,24
18.10.2003,16
11.04.2004,26
09.07.2004,21
20.10.2004,8
30.04.2005,20
19.07.2005,19
08.11.2005,9
19.05.2006,22
24.09.2006,3
22.05.2007,24
25.07.2007,18
29.10.2007,9
01.05.2008,25
11.07.2008,11
25.11.2008,8
27.05.2009,22
30.07.2009,17
14.05.2010,25
17.07.2010,21
08.12.2010,17
08.04.2011,21
17.04.2012,26
06.07.2012,14
10.10.2012,2
06.05.2013,25
19.09.2013,3
29.10.2013,5
23.04.2014,26
05.07.2014,17
17.10.2014,4
12.05.2015,24
29.06.2015,18
23.12.2015,19
30.05.2016,27
17.07.2016,26
24.12.2016,17
01.05.2017,24
20.07.2017,20
04.05.2018,22
31.07.2018,9
28.12.2018,17
27.05.2019,23
04.10.2019,3
23.12.2019,17.62
28.10.2023,1
